cod_ine;nombre_mun;compuesto
39001;Alfoz de Lloredo;39001 - ALFOZ DE LLOREDO
39002;Ampuero;39002 - AMPUERO
39003;Anievas;39003 - ANIEVAS
39004;Arenas de Iguña;39004 - ARENAS DE IGUÑA
39005;Argoños;39005 - ARGOÑOS
39006;Arnuero;39006 - ARNUERO
39007;Arredondo;39007 - ARREDONDO
39008;Astillero (El);39008 - ASTILLERO (EL)
39009;Barcena de Cicero;39009 - BARCENA DE CICERO
39010;Barcena de Pie de Concha;39010 - BARCENA DE PIE DE CONCHA
39011;Bareyo;39011 - BAREYO
39012;Cabezon de la Sal;39012 - CABEZON DE LA SAL
39013;Cabezon de Liebana;39013 - CABEZON DE LIEBANA
39014;Cabuerniga;39014 - CABUERNIGA
39015;Camaleño;39015 - CAMALEÑO
39016;Camargo;39016 - CAMARGO
39017;Campoo de Yuso;39017 - CAMPOO DE YUSO
39018;Cartes;39018 - CARTES
39019;Castañeda;39019 - CASTAÑEDA
39020;Castro-Urdiales;39020 - CASTRO-URDIALES
39021;Cieza;39021 - CIEZA
39022;Cillorigo de Liebana;39022 - CILLORIGO DE LIEBANA
39023;Colindres;39023 - COLINDRES
39024;Comillas;39024 - COMILLAS
39025;Corrales de Buelna (Los);39025 - CORRALES DE BUELNA (LOS)
39026;Corvera de Toranzo;39026 - CORVERA DE TORANZO
39027;Campoo de Enmedio;39027 - CAMPOO DE ENMEDIO
39028;Entrambasaguas;39028 - ENTRAMBASAGUAS
39029;Escalante;39029 - ESCALANTE
39030;Guriezo;39030 - GURIEZO
39031;Hazas de Cesto;39031 - HAZAS DE CESTO
39032;Hermandad de Campoo de Suso;39032 - HERMANDAD DE CAMPOO DE SUSO
39033;Herrerias;39033 - HERRERIAS
39034;Lamason;39034 - LAMASON
39035;Laredo;39035 - LAREDO
39036;Liendo;39036 - LIENDO
39037;Lierganes;39037 - LIERGANES
39038;Limpias;39038 - LIMPIAS
39039;Luena;39039 - LUENA
39040;Marina de Cudeyo;39040 - MARINA DE CUDEYO
39041;Mazcuerras;39041 - MAZCUERRAS
39042;Medio Cudeyo;39042 - MEDIO CUDEYO
39043;Meruelo;39043 - MERUELO
39044;Miengo;39044 - MIENGO
39045;Miera;39045 - MIERA
39046;Molledo;39046 - MOLLEDO
39047;Noja;39047 - NOJA
39048;Penagos;39048 - PENAGOS
39049;Peñarrubia;39049 - PEÑARRUBIA
39050;Pesaguero;39050 - PESAGUERO
39051;Pesquera;39051 - PESQUERA
39052;Pielagos;39052 - PIELAGOS
39053;Polaciones;39053 - POLACIONES
39054;Polanco;39054 - POLANCO
39055;Potes;39055 - POTES
39056;Puente Viesgo;39056 - PUENTE VIESGO
39057;Ramales de la Victoria;39057 - RAMALES DE LA VICTORIA
39058;Rasines;39058 - RASINES
39059;Reinosa;39059 - REINOSA
39060;Reocin;39060 - REOCIN
39061;Ribamontan al Mar;39061 - RIBAMONTAN AL MAR
39062;Ribamontan al Monte;39062 - RIBAMONTAN AL MONTE
39063;Rionansa;39063 - RIONANSA
39064;Riotuerto;39064 - RIOTUERTO
39065;Rozas de Valdearroyo (Las);39065 - ROZAS DE VALDEARROYO (LAS)
39066;Ruente;39066 - RUENTE
39067;Ruesga;39067 - RUESGA
39068;Ruiloba;39068 - RUILOBA
39069;San Felices de Buelna;39069 - SAN FELICES DE BUELNA
39070;San Miguel de Aguayo;39070 - SAN MIGUEL DE AGUAYO
39071;San Pedro del Romeral;39071 - SAN PEDRO DEL ROMERAL
39072;San Roque de Riomiera;39072 - SAN ROQUE DE RIOMIERA
39073;Santa Cruz de Bezana;39073 - SANTA CRUZ DE BEZANA
39074;Santa Maria de Cayon;39074 - SANTA MARIA DE CAYON
39075;Santander;39075 - SANTANDER
39076;Santillana del Mar;39076 - SANTILLANA DEL MAR
39077;Santiurde de Reinosa;39077 - SANTIURDE DE REINOSA
39078;Santiurde de Toranzo;39078 - SANTIURDE DE TORANZO
39079;Santoña;39079 - SANTOÑA
39080;San Vicente de la Barquera;39080 - SAN VICENTE DE LA BARQUERA
39081;Saro;39081 - SARO
39082;Selaya;39082 - SELAYA
39083;Soba;39083 - SOBA
39084;Solorzano;39084 - SOLORZANO
39085;Suances;39085 - SUANCES
39086;Tojos (Los);39086 - TOJOS (LOS)
39087;Torrelavega;39087 - TORRELAVEGA
39088;Tresviso;39088 - TRESVISO
39089;Tudanca;39089 - TUDANCA
39090;Udias;39090 - UDIAS
39091;Valdaliga;39091 - VALDALIGA
39092;Valdeolea;39092 - VALDEOLEA
39093;Valdeprado del Rio;39093 - VALDEPRADO DEL RIO
39094;Valderredible;39094 - VALDERREDIBLE
39095;Val de San Vicente;39095 - VAL DE SAN VICENTE
39096;Vega de Liebana;39096 - VEGA DE LIEBANA
39097;Vega de Pas;39097 - VEGA DE PAS
39098;Villacarriedo;39098 - VILLACARRIEDO
39099;Villaescusa;39099 - VILLAESCUSA
39100;Villafufre;39100 - VILLAFUFRE
39101;Valle de Villaverde;39101 - VILLAVERDE DE TRUCIOS
39102;Voto;39102 - VOTO
